LENGTH,DIAMETER,HEIGHT,WEIGHT,RING,AGE
0.815,0.65,0.25,2.255,14,OLD
0.8,0.63,0.195,2.526,23,OLD
0.78,0.6,0.21,2.548,11,OLD
0.78,0.63,0.215,2.657,11,OLD
0.775,0.57,0.22,2.032,17,OLD
0.775,0.63,0.25,2.7795,12,OLD
0.77,0.6,0.215,2.1945,10,OLD
0.77,0.605,0.175,2.0505,11,OLD
0.77,0.62,0.195,2.5155,12,OLD
0.765,0.585,0.18,2.398,12,OLD
0.765,0.6,0.22,2.302,12,OLD
0.76,0.575,0.19,1.829,14,OLD
0.76,0.605,0.215,2.173,13,OLD
0.755,0.575,0.2,2.073,11,OLD
0.6,0.505,0.19,1.129,13,OLD
0.6,0.51,0.185,1.285,9,OLD
0.16,0.12,0.035,0.021,5,BABY
0.16,0.12,0.02,0.018,4,BABY
0.155,0.105,0.05,0.0175,4,BABY
0.155,0.11,0.04,0.0155,3,BABY
0.18,0.13,0.045,0.0275,3,BABY
0.18,0.135,0.08,0.033,5,BABY
0.2,0.15,0.04,0.046,4,BABY
0.2,0.155,0.04,0.0435,4,BABY
0.195,0.135,0.04,0.0325,4,BABY
0.195,0.145,0.05,0.032,4,BABY
0.205,0.155,0.045,0.0495,3,BABY
0.2,0.14,0.055,0.035,5,BABY
0.24,0.185,0.06,0.0655,4,BABY
0.235,0.13,0.075,0.1585,5,BABY
0.235,0.16,0.04,0.048,5,BABY
0.13,0.1,0.03,0.013,3,BABY
0.11,0.09,0.03,0.008,3,BABY
0.075,0.055,0.01,0.002,1,BABY
0.155,0.115,0.025,0.024,5,BABY
0.15,0.1,0.025,0.015,2,BABY
0.14,0.105,0.035,0.014,3,BABY
0.405,0.325,0.11,0.3575,12,ADULT
0.4,0.265,0.1,0.2775,9,ADULT
0.4,0.29,0.115,0.2795,9,ADULT
0.44,0.365,0.11,0.4465,9,ADULT
0.44,0.375,0.13,0.487,9,ADULT
0.465,0.39,0.11,0.6355,13,ADULT
0.465,0.405,0.135,0.7775,10,ADULT
0.485,0.415,0.14,0.5705,8,ADULT
0.48,0.335,0.125,0.524,7,ADULT
0.5,0.365,0.125,0.528,9,ADULT
0.5,0.37,0.135,0.45,9,ADULT
0.505,0.375,0.115,0.5895,10,ADULT
0.505,0.38,0.13,0.656,13,ADULT
0.525,0.44,0.125,0.7115,7,ADULT
0.52,0.375,0.135,0.5375,8,ADULT